행정구역,2021년05월_계_총인구수,2021년05월_계_연령구간인구수,2021년05월_계_0세,2021년05월_계_1세,2021년05월_계_2세,2021년05월_계_3세,2021년05월_계_4세,2021년05월_계_5세,2021년05월_계_6세,2021년05월_계_7세,2021년05월_계_8세,2021년05월_계_9세,2021년05월_계_10세,2021년05월_계_11세,2021년05월_계_12세,2021년05월_계_13세,2021년05월_계_14세,2021년05월_계_15세,2021년05월_계_16세,2021년05월_계_17세,2021년05월_계_18세,2021년05월_계_19세,2021년05월_계_20세,2021년05월_계_21세,2021년05월_계_22세,2021년05월_계_23세,2021년05월_계_24세,2021년05월_계_25세,2021년05월_계_26세,2021년05월_계_27세,2021년05월_계_28세,2021년05월_계_29세,2021년05월_계_30세,2021년05월_계_31세,2021년05월_계_32세,2021년05월_계_33세,2021년05월_계_34세,2021년05월_계_35세,2021년05월_계_36세,2021년05월_계_37세,2021년05월_계_38세,2021년05월_계_39세,2021년05월_계_40세,2021년05월_계_41세,2021년05월_계_42세,2021년05월_계_43세,2021년05월_계_44세,2021년05월_계_45세,2021년05월_계_46세,2021년05월_계_47세,2021년05월_계_48세,2021년05월_계_49세,2021년05월_계_50세,2021년05월_계_51세,2021년05월_계_52세,2021년05월_계_53세,2021년05월_계_54세,2021년05월_계_55세,2021년05월_계_56세,2021년05월_계_57세,2021년05월_계_58세,2021년05월_계_59세,2021년05월_계_60세,2021년05월_계_61세,2021년05월_계_62세,2021년05월_계_63세,2021년05월_계_64세,2021년05월_계_65세,2021년05월_계_66세,2021년05월_계_67세,2021년05월_계_68세,2021년05월_계_69세,2021년05월_계_70세,2021년05월_계_71세,2021년05월_계_72세,2021년05월_계_73세,2021년05월_계_74세,2021년05월_계_75세,2021년05월_계_76세,2021년05월_계_77세,2021년05월_계_78세,2021년05월_계_79세,2021년05월_계_80세,2021년05월_계_81세,2021년05월_계_82세,2021년05월_계_83세,2021년05월_계_84세,2021년05월_계_85세,2021년05월_계_86세,2021년05월_계_87세,2021년05월_계_88세,2021년05월_계_89세,2021년05월_계_90세,2021년05월_계_91세,2021년05월_계_92세,2021년05월_계_93세,2021년05월_계_94세,2021년05월_계_95세,2021년05월_계_96세,2021년05월_계_97세,2021년05월_계_98세,2021년05월_계_99세,2021년05월_계_100세 이상
서울특별시 도봉구 (1132000000),"320,687","320,687","1,114","1,383","1,442","1,636","1,766","2,018","2,128","1,988","2,173","2,274","2,368","2,172","2,240","2,410","2,362","2,288","2,431","2,819","2,764","3,109","3,614","3,806","3,913","4,184","4,341","4,490","4,467","4,605","4,641","4,522","4,102","3,859","3,834","3,620","3,630","3,770","3,797","4,090","4,484","4,713","4,767","4,646","4,077","4,149","4,137","4,312","4,819","5,168","5,444","5,774","5,984","5,771","6,111","5,542","5,353","5,482","5,461","5,121","5,866","5,549","6,503","6,114","5,679","5,570","5,248","4,956","5,171","3,822","3,909","3,559","3,028","3,261","3,017","3,172","3,107","2,172","2,285","2,319","2,562","2,594","1,976","1,809","1,663","1,382","1,232","1,090",861,761,639,531,378,333,282,222,162,99,60,53,54,30,122
서울특별시 노원구 (1135000000),"516,552","516,552","2,126","2,346","2,496","2,784","3,032","3,517","3,688","3,715","4,025","4,211","4,493","4,295","4,699","5,375","5,022","5,065","5,303","5,777","5,585","6,072","7,167","7,216","7,345","7,694","7,371","7,364","6,974","6,909","7,112","6,720","6,206","6,162","6,238","5,794","5,918","6,153","6,004","6,709","7,079","7,601","7,769","7,901","7,217","7,546","7,570","7,921","8,809","9,597","9,706","9,965","10,499","9,774","9,916","8,808","8,143","8,200","7,982","7,317","8,550","8,047","8,935","8,327","7,828","7,616","6,983","6,809","6,984","5,445","5,320","4,976","4,132","4,499","4,208","4,286","4,149","2,883","3,186","3,057","3,501","3,393","2,665","2,442","2,255","2,024","1,759","1,551","1,335","1,098",920,774,620,482,397,321,227,129,105,85,82,51,114
서울특별시 은평구 (1138000000),"475,143","475,143","2,024","2,242","2,457","2,574","2,817","3,212","3,323","3,066","3,456","3,425","3,517","3,413","3,532","3,758","3,634","3,570","3,735","4,130","4,169","4,399","5,257","5,451","5,648","6,104","6,663","6,912","7,289","7,611","7,903","7,645","7,118","6,622","6,435","6,308","6,242","6,282","6,295","6,860","7,441","7,742","7,746","7,697","6,668","6,814","6,629","7,094","7,474","8,078","8,350","8,578","8,715","8,225","8,582","7,443","7,317","7,244","7,263","6,831","7,762","7,389","8,441","7,943","7,473","7,020","6,583","6,329","6,636","5,270","5,209","4,667","4,153","4,544","4,311","4,541","4,293","3,194","3,271","3,211","3,727","3,554","2,688","2,544","2,307","1,926","1,775","1,489","1,237",939,728,650,472,394,332,254,178,134,91,78,67,29,281
서울특별시 서대문구 (1141000000),"307,406","307,406","1,469","1,575","1,674","1,811","2,006","2,178","2,270","2,175","2,214","2,145","2,237","2,118","2,037","2,205","2,238","2,116","2,271","2,448","2,588","2,937","3,724","4,003","4,398","4,898","5,215","5,566","5,560","5,468","5,418","5,322","4,823","4,547","4,363","4,149","4,262","4,226","4,200","4,432","4,675","4,869","4,833","4,625","4,174","4,183","4,193","4,256","4,490","5,024","5,106","5,413","5,468","5,340","5,391","4,838","4,631","4,696","4,704","4,323","4,793","4,522","5,138","4,687","4,498","4,238","3,903","3,800","3,881","3,036","3,089","2,696","2,331","2,715","2,477","2,697","2,725","1,910","2,039","2,035","2,417","2,300","1,734","1,738","1,614","1,330","1,198","1,137",902,675,562,419,350,324,235,188,145,98,66,47,47,40,112
서울특별시 마포구 (1144000000),"369,970","369,970","1,953","2,005","2,241","2,203","2,598","2,743","2,704","2,535","2,777","2,641","2,725","2,580","2,719","2,978","2,704","2,671","2,689","2,880","2,855","3,317","4,086","4,592","4,886","5,777","6,171","6,912","6,938","7,260","7,498","7,570","6,866","6,484","6,547","6,176","6,183","6,205","6,030","6,377","6,497","6,676","6,465","6,220","5,610","5,534","5,630","5,634","5,958","6,318","6,532","6,557","6,667","6,163","6,086","5,489","5,031","5,122","5,230","4,716","5,107","4,815","5,419","5,031","4,516","4,314","4,117","3,943","3,980","3,049","3,089","2,817","2,400","2,671","2,605","2,697","2,660","1,868","2,184","2,033","2,366","2,231","1,805","1,631","1,500","1,315","1,227","1,016",852,728,598,504,379,311,270,194,138,78,67,48,56,26,104
서울특별시 양천구 (1147000000),"451,541","451,541","1,850","1,975","2,264","2,458","2,970","3,261","3,590","3,901","4,252","4,351","4,676","4,601","4,884","5,512","5,053","4,816","5,068","5,282","5,015","5,177","5,509","5,706","5,605","5,737","5,729","6,023","6,072","6,116","6,256","6,119","5,681","5,359","5,287","5,059","5,081","5,418","5,373","6,069","6,565","7,049","7,378","7,555","7,007","7,191","7,055","7,623","8,076","8,499","8,646","8,910","9,033","8,419","8,598","7,549","7,242","7,177","7,328","6,533","7,495","6,812","7,826","7,228","6,672","6,282","6,037","5,711","6,007","4,602","4,589","4,210","3,473","3,737","3,584","3,426","3,211","2,102","2,465","2,166","2,429","2,222","1,723","1,631","1,465","1,282","1,127","1,055",806,744,601,508,371,339,283,194,134,113,75,55,54,38,69
서울특별시 강서구 (1150000000),"577,484","577,484","2,945","3,230","3,266","3,467","3,759","4,314","4,178","4,230","4,532","4,472","4,387","3,957","4,184","4,543","4,173","4,068","4,291","4,679","4,670","5,132","5,944","6,175","6,366","7,250","8,016","9,107","10,132","10,720","11,421","11,629","10,917","10,463","10,054","9,436","9,410","9,413","8,953","9,488","10,019","10,399","9,892","9,900","8,830","8,421","8,140","8,383","8,752","9,265","9,390","9,242","9,338","8,835","9,248","8,099","7,836","7,911","8,456","7,672","8,960","8,604","10,059","9,376","8,893","8,490","7,888","7,668","7,786","6,063","6,249","5,551","4,500","5,139","4,634","4,658","4,512","2,999","3,263","2,917","3,261","2,935","2,490","2,212","2,064","1,686","1,532","1,442","1,206",967,824,696,566,483,425,311,209,174,110,85,59,47,92
서울특별시 구로구 (1153000000),"399,950","399,950","2,165","2,237","2,557","2,522","2,664","2,967","2,937","2,808","3,087","2,980","3,143","2,834","2,810","3,040","2,751","2,756","2,734","2,996","3,164","3,432","4,022","4,369","4,329","4,940","5,287","6,011","6,212","6,343","6,715","6,757","6,329","6,193","6,208","5,965","6,043","5,895","5,742","6,170","6,650","6,706","6,752","6,681","5,812","5,775","5,688","5,741","5,998","6,420","6,647","6,622","6,761","6,442","6,723","6,086","5,895","6,082","6,239","5,626","6,513","6,175","7,162","6,697","6,349","6,083","5,671","5,570","5,685","4,699","4,568","4,251","3,581","4,098","3,758","3,750","3,573","2,417","2,697","2,512","2,753","2,607","1,980","1,754","1,743","1,404","1,209","1,084",898,690,584,431,350,285,254,179,131,92,59,62,49,29,54
서울특별시 금천구 (1154500000),"229,823","229,823","1,001",979,"1,099","1,157","1,198","1,340","1,280","1,283","1,331","1,324","1,369","1,249","1,269","1,377","1,408","1,363","1,378","1,507","1,660","1,774","2,196","2,465","2,710","3,197","3,524","4,117","4,359","4,844","4,933","4,789","4,310","3,983","3,826","3,484","3,417","3,324","3,056","3,297","3,332","3,447","3,438","3,225","2,908","2,877","2,803","2,891","3,172","3,476","3,642","3,708","3,951","3,907","4,021","3,856","3,709","4,025","4,068","3,744","4,296","4,038","4,540","4,272","3,949","3,587","3,309","3,253","3,360","2,573","2,458","2,443","1,991","2,261","2,067","2,031","2,047","1,406","1,522","1,422","1,621","1,499","1,113","1,061",974,752,625,584,495,409,351,235,230,174,121,110,75,41,37,34,17,16,47
서울특별시 영등포구 (1156000000),"377,577","377,577","2,245","2,369","2,483","2,665","2,634","2,854","2,677","2,495","2,551","2,504","2,497","2,239","2,201","2,353","2,270","2,167","2,261","2,483","2,548","2,876","3,675","3,870","4,270","4,781","5,390","6,165","7,006","7,444","8,130","8,548","7,696","7,419","7,308","7,024","6,677","6,788","6,388","6,542","6,655","6,759","6,319","6,071","5,342","5,200","5,119","5,105","5,270","5,660","5,823","5,935","6,196","5,840","6,103","5,385","5,427","5,451","5,539","5,193","5,880","5,378","6,090","5,726","5,450","5,178","4,807","4,583","4,796","3,619","3,768","3,459","3,029","3,282","3,140","3,094","2,963","2,148","2,222","2,191","2,471","2,344","1,784","1,673","1,564","1,355","1,282","1,091",962,725,620,461,363,280,233,185,134,85,68,60,57,25,67
서울특별시 동작구 (1159000000),"388,396","388,396","1,833","1,934","2,056","2,246","2,424","2,740","2,754","2,541","2,764","2,665","2,758","2,466","2,615","2,587","2,650","2,415","2,652","2,780","3,028","3,356","4,282","4,677","5,312","6,143","6,638","7,306","7,697","7,774","7,850","7,878","7,054","6,728","6,357","6,047","5,821","5,735","5,596","5,852","6,154","6,349","6,142","6,285","5,565","5,257","5,305","5,418","5,718","6,081","6,053","6,320","6,310","6,259","6,388","5,655","5,481","5,460","5,711","5,284","5,830","5,614","6,314","6,108","5,491","5,428","4,957","4,897","5,008","3,996","3,921","3,785","3,216","3,543","3,436","3,411","3,460","2,377","2,584","2,381","2,725","2,563","1,957","1,874","1,711","1,384","1,315","1,150",896,762,649,494,390,332,320,199,167,112,81,83,51,38,180
서울특별시 관악구 (1162000000),"489,160","489,160","1,613","1,765","1,777","1,908","2,145","2,319","2,398","2,240","2,463","2,538","2,516","2,397","2,379","2,689","2,621","2,563","2,654","3,002","3,156","4,028","5,109","6,020","7,357","9,269","10,873","13,062","13,740","14,706","14,779","13,862","11,891","10,680","9,881","8,585","8,117","7,505","7,024","7,173","7,274","7,607","7,405","7,135","6,218","6,056","6,007","6,159","6,506","6,982","7,175","7,238","7,512","7,119","7,168","6,606","6,298","6,506","6,617","5,987","6,954","6,567","7,426","7,127","6,628","6,226","5,827","5,799","6,099","4,767","4,743","4,799","3,992","4,540","4,196","4,172","4,142","2,844","3,168","2,999","3,448","3,114","2,425","2,151","1,955","1,627","1,366","1,123",971,759,591,508,382,310,275,211,155,81,64,58,57,31,104
서울특별시 서초구 (1165000000),"419,121","419,121","1,989","2,197","2,501","2,730","3,039","3,529","3,811","3,978","4,489","4,395","4,650","4,451","4,619","4,790","4,576","4,272","4,388","4,453","4,263","4,426","4,831","4,820","4,795","5,041","5,049","5,439","5,652","5,708","6,172","6,316","6,101","5,727","6,081","5,615","5,861","5,747","5,726","6,438","6,866","7,399","7,570","7,712","7,031","7,144","7,302","7,338","7,543","8,212","8,173","8,049","8,185","7,659","7,208","6,552","5,668","5,685","5,786","5,392","5,606","5,342","5,738","5,522","5,404","5,269","4,914","4,752","4,932","4,035","3,970","3,474","3,030","3,419","3,227","3,253","3,224","2,330","2,317","2,153","2,203","2,070","1,642","1,456","1,301","1,147","1,043",889,852,610,500,482,372,312,311,228,172,119,82,65,68,29,118
서울특별시 강남구 (1168000000),"532,296","532,296","2,107","2,317","2,563","2,812","3,184","3,716","4,172","4,506","5,044","5,192","5,568","5,366","5,843","6,493","6,015","5,693","5,805","6,126","5,690","5,554","6,658","6,159","6,225","6,593","6,697","7,187","7,499","8,042","8,338","8,534","8,031","7,963","7,773","7,353","7,371","7,579","7,352","8,112","8,657","9,333","9,431","9,830","9,214","9,201","9,376","9,438","9,903","10,273","10,481","10,657","10,658","9,922","9,393","8,102","7,422","7,314","7,189","6,901","7,003","6,455","7,114","6,629","6,436","6,564","6,215","6,017","6,299","5,127","5,222","4,587","3,815","4,361","4,161","4,130","4,132","2,876","2,908","2,725","2,657","2,510","2,045","1,743","1,595","1,414","1,191","1,124",931,775,658,587,472,419,364,268,218,160,113,79,70,55,145
서울특별시 송파구 (1171000000),"659,446","659,446","3,396","3,663","4,044","4,411","5,032","5,544","5,565","5,412","5,909","5,856","6,044","5,633","5,545","6,011","5,775","5,408","5,623","5,878","5,842","6,278","7,382","7,638","7,449","8,140","8,739","9,640","10,045","10,769","11,187","11,397","10,703","10,733","10,784","10,177","10,234","10,545","10,109","10,893","11,509","12,058","11,875","11,778","10,438","10,073","9,947","9,917","10,416","10,878","11,074","11,275","11,552","10,855","11,109","10,149","9,337","9,702","9,839","9,080","10,211","9,614","10,868","10,204","9,507","9,445","8,728","8,466","8,823","6,814","6,872","6,034","4,994","5,295","4,962","4,825","4,827","3,188","3,323","3,021","3,203","2,959","2,272","2,090","1,841","1,646","1,487","1,340","1,146",989,853,715,541,482,415,293,258,155,112,96,79,47,112
서울특별시 강동구 (1174000000),"465,459","465,459","2,772","2,936","3,099","3,235","3,523","3,914","4,005","3,948","4,031","4,041","4,055","3,883","3,865","4,148","3,806","3,602","3,701","3,919","3,907","4,222","4,984","5,063","5,150","5,439","5,912","6,431","6,722","6,889","7,501","7,494","7,001","7,034","6,956","6,748","6,871","7,019","7,024","7,501","8,032","8,607","8,417","8,251","7,507","7,104","6,868","6,863","7,128","7,542","7,644","7,711","7,817","7,370","7,834","7,005","6,798","6,836","7,115","6,547","7,667","7,141","8,442","7,947","7,372","6,964","6,656","6,368","6,682","5,155","5,178","4,623","3,690","4,134","3,793","3,821","3,551","2,434","2,507","2,354","2,538","2,339","1,745","1,604","1,449","1,268","1,054","1,027",875,689,598,494,383,359,320,220,185,126,77,69,64,33,117
